,text,label
38,"Quiet bottom floor condo in desirable Canyon Meadows neighborhood! Huge master bedroom with large walk-in closet Lots of natural light throughout unit Balcony facing hills w/ outdoor storage closet 1.5 Miles from West Dublin/Pleasanton BART 2 Miles from Workday 2.5 Miles from Pleasanton Park N Ride 3.3 Miles from Clorox 6.2 Miles from Fairgrounds (Google, Facebook, Apple Shuttles) Recently Updated Including: New Kitchen (Stainless Steel Appliances, Shaker Cabinets, Quartz Countertops)",1
39,"Ready to ride. No offers over phone or text. Come see it first. Serious buyers Perfect for the new or experienced rider. I'm 5' 6"" and fits perfect. With a longer stem up to someone 5' 8"" can ride Fox Talas RLC shocks Tires new plus extra set of street tires",1
40,I am selling a mint case from Corsair (250D). It was originally purchased to compliment my new PC but I ended up reusing my old one. Comes with all necessary screws to complete the build.,0
41,HERE IS ONE OF MANY HOUSE SPECIALS -- HERE ARE 2 HIGH BACK CHAIRS -- THESE CHAIRS ARE WELL MADE AND VERY COMFORTABLE -- NOTE -- THERE IS SOME WEAR ON THE CORNERS AS CATS USED THEM FOR THERE SCRATCHING POST -- OTHERWISE IN GOOD CONDITION -- ONLY 49.00 EACH OR BOTH FOR 80.00 -- THESE CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT,1
42,"This beautiful antique oak parlor table dates back to the late 1800's, and would be a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind. It is in excellent condition, with that beautiful dark brown antique oak color and patina. It is sturdy, with all joints being solid and strong. There are no marks, cracks or damage. • 24 inch X 24 inch square top • 16 inch X 18 inch lower shelf",0
43,"Maple desk, in excellent condition. It is a good size for a smaller room. It was all re-finished and ready to be of service. If you need the matching chair. I am willing to sell that separately.",1
44,"With remote and mic, white, new still in package, model MD827LL/A",0
45,"Vintage rounded, metal headboard and footboard for a queen sized bed.",0
46,"This unit is one of our ""Platinum"" upgraded apartment homes. It includes stylish new appliances, flooring and lighting, refinished kitchens and baths, accent walls and your own private balcony. You're going to love it! Welcome to Alderwood Apartments! We are a newly renovated apartment community located in the heart of San Leandro and is within walking distance of BART, Bayfair Mall, Century Theaters, and many attractive and convenient shops and restaurants. Please call today to schedule your personal tour! 12 months",1
47,Like new! Excellent Condition! Only worn 2-3 times Absolutely no wear,0
48,In excellent vintage condition and working order Selling as shown with no weighted base or desk clamp,0
49,Car was completely disassembled and professionally painted Porsche GT3 green by Phantasy Kolors Roti form wheels Accu air bagged suspension Carbon fiber interior and engine bay dress up kit Status carbon fiber racing seats Weather tech floor mats,1
50,"This iPhone is sealed with its original box meaning it also comes with all original accessories (headphones, charger cable, charger block). It has 128GB of memory and is completely unlocked (GSM & CDMA) straight from Apple and has a clean IMEI and ESN.",0
51,"Location: 1501 Stuart Street Apt. #6, Berkeley, CA 94703 (Southwest Berkeley) Close to Schools, U. C. Campus, Buses, and BART Station. * Electric Stove * Gas Heater * Designated Parking Space * Tenant pays for all utilities except for garbage collection / water * Natural Lighting * One year lease minimum",1
52,"2008 Toyota Prius with very low miles- 44,985. In short, the car is in excellent condition. As for specifics, it has a 4- Cyl, Hybrid, 1.5 Liter engine. Front-Wheel Drive and automatic transmission.",1
53,Sony RM-Y914 remote control. For KDS-R50XBR1 KDSR50XBR1 Televisions. Very good condition.,0
54,"If you are looking for a router which can perform: 1) Branded 4-in-1 router that can be used for Internet Sharing, Connecting Multiple Computers, Wireless b/g/N (Router, Switch & wireless & firewall capability) 2) Ultra speed Internet browsing supporting latest Wireless N technology 3) Very slick and slim router",1
55,The sofa is used but in good condition. It quickly converts into a sleeper by folding out the seat cushions.,0
56,"2004 Kia Rio low miles 46,000 well maintained. This was my grandmas car she bought it new and always had it serviced at the dealer. I have the paperwork. I'm the second owner. The car has always been kept up well. Clean title. Never in an accident. Paint has some fading on the rear bumper. Overall the car is in good condition. Good commuter car.",0
57,"Looking for a lovely couple or someone to fill this 1 bed, 1 bath apartment in Berkeley, CA. Availability is May 15, 2017. This apartment is located right across the street from a cute little neighborhood park and is also near the Alta Bates Summit Hospital. It is also: -- 3 minute walk to the 49 bus stop which goes from Rockridge Bart to Dwight to Ashby (10 min bus ride to Ashby Bart Station).",1
58,* Fireplaces in Select Units * Large Storage Spaces Available * Onsite Laundry Facility,0
59,"Selling my like new Insignia 7"" digital picture frame - used just once or twice for a few minutes. In perfect working conditions and comes with all accessories: remote, charger, memory stick duo adapter. Product Features - 7"" widescreen LCD display with 16:9 aspect ratio:Creates an impressive display for viewing your pictures. - 800 x 480 resolution and 500:1 contrast ratio:Provide an accurate display of your photos' details. - Supports JPEG picture format:For convenient viewing. - 1GB internal memory:Lets you save and manage your digital images.",0
60,IPhone a1662 Disabled. Being sold for parts. This iPhone is disabled. Every part on the phone is perfect and it has a nice case.,0
61,"Sunny Garden inlaw unit in highly desierable Glenview district of Oakland. walk to public transit, shopping and restaurants.",1
62,"I'm selling my beloved green Peugeot bike as it's too big for me. It comes with original parts and accessories: drink holder, pump, and pedometer (don't work - for decoration except drink holder).",1
63,"** As long as this Ad is showing the property is Available ** One (1) Bedroom, One (1) Bath Unit. BRIGHT, SUNNY, studio unit. Washer and dryer just feet/steps away from this unit. This is a 7-unit complex located within an upscale residential neighborhood. Great location just off of Shattuck Avenue and only one block from Berkeley Bowl. Convenient to UCB, Ashby BART, downtown Berkeley as well as Whole Foods and Berkeley Bowl markets. The bathroom has a tub/shower. Just minutes walking to UC Berkeley, BART, DOWNTOWN, AMAZING RESTAURANTS. PHOTOS: Photos are coming. LEASE TERMS: 1 year. Resident pays PG&E, cable & water. Owner pays garbage. To Apply Please Bring: Photo ID",1
64,"Lovely upper unit in Victorian tri-plex located in West End of Alameda. This fresh and clean one bedroom, one bath apartment features; new carpeted flooring, ceiling fan, lot of closet space and shared yard. Four burners gas stove, refrigerator and wide windows in the kitchen. On street parking only but ALL utilities are included and coin operated laundry on site. One year lease, tenant splits one time 30% rental fee with owner and NO pets. Available now, give our office a call at",1
65,"MINUTES FROM TAFB NEW HEAT AND A/C! 3 Bedroom, 1 Bathroom, 1000 Square Foot Single Story Home. Fairfield, CA 94533 LARGE RV PARKING AT SIDE OF HOUSE! ALL NEW BATHROOM! Double paned windows and patio doors. Lots of cabinets. New Self Cleaning electric smooth top stove. New Dishwasher. New Disposal. Tile countertops. New sink with nice new faucet. . Large patio door and large garden window brings in lots of light-makes Refrigerator Included. Wood burning Fireplace.",1
66,"HAS ALL THE BEST PARTS AS FAR AS I'M CONCERNED... ALL THE DECALS ARE THERE, SOME REPOPS SOME OG, HAD TO TELL WHAT'S WHAT",0
67,"Used solid wood dining/occasional/accent chair in walnut color with cushion from a pet-free, smoke-free home. The chair is structurally sound, sturdy. Wood is in excellent condition with a couple of nicks. Cushion is clean and washed, no stains or rips.",0
68,Rans Screamer Ult ST Yel STD 27 speed drive train with Sram X9 rear detailer and grip shifters,1
69,"Linear recumbent bicycle for sale. This was built in Iowa, and has a welded reinforcement in the rear frame. This is the ""folding"" model, but's it's more of a ""can be compacted for storage or transport"" (see the last picture). LWB USS (Long Wheel Base, Under Seat Steering). Aluminum frame.",1
70,Coming Soon! Check back for Updated Pictures!! Year Lease,0
71,NOT GETTING SIGNAL CALL THE SATTELITE GUY,0
72,"(8) BRAND NEW IN THE BOX // R-1650 WALL AND CEILING HOME SPEAKERS! Perfect for those who want excellent performance and durability. Bought this system when I bought my home, but decided to go in another direction. Never opened the box. Military Professional. No Scam!",0
73,Testing the waters. Selling my 96 hatchback. Open for trade only if it's for a 03 - 04 Yamaha R6,0
74,title status: clean title status: clean,0
75,-have had no bankruptcy in 3 years -no foreclosure/shortsale in the last 3 years,0
76,"IKEA desk for sale , both colors , good condition assembled or disassembled, based on your transportation situation.",1
77,Product Description:,0
78,"I purchased this Serge Mouille (reproduction) floor lamp new a week ago, but it doesn't work with my living room space.",1
79,"2002 Ford F150,four-wheel-drive ,super crew ,high end snug top ,Triton V8 5.4, New transmission new tires new Pitman arm new idol alarm new alignment and new shocks 210,000 miles interiors good great truck runs and drives perfect . A lot of truck for the money . at 4400.00",0
80,Black iPhone 6 looks brand new with screen cover and case with a kickstand. Verizon phone,1
81,We are moving and now selling our reception desk. It's 8 feet wide.,0
82,Matching side table and mirror for sale Table 26 inches wide 26 inches tall,0
83,"Welcome home to this charming and sweet two bedroom one bath bungalow in the Upper Dimond District. This beautifully maintained home boasts of original hardwood floors splashed with espresso, upgraded bathroom and kitchen that overlooks a lush backyard garden, and a spacious living/dining area.",1
84,"A pair of stunning vintage side tables with bases formed out of natural old growth grape vines and heavy circular glass table tops. Each measures 24"" in diameter x 20.25"" tall. Cash only.",1
85,"Slate Black Hardwood 60-inch Corner TV Console - Pewter knobs - Beveled, tempered glass - Adjustable shelves behind each door",0
86,"House information 1) Beautiful SFH with 4 bedrooms and 2.5 baths in 2 stories near Fairmont Ln in Tracy 2) 1868 SQFT of living space and low maintenance backyard, Possible RV access. 3-car garage. 3) Central heat & AC with fireplace in living area 4) Very safe & nice neighborhood & close to shopping center. Easy access to highway",1
87,"Selling my 2015 Honda Accord LX , the car is in perfect condition drives super smooth and only 32k miles on it. Just put brand new tires on .",1
88,"Best looking Escalade! Limited edition: larger engine, chrome grill, pearl white paint and 20in Cadillac rims. Will tow anything! Very reliable. Tires just year old. More pictures to come.",1
89,Beautiful renovated Downtown Apartment.,0
90,This dresser is strong and sturdy and in good condition. It features dovetail construction on the drawers.,0
91,Tour and Lease and Receive,1
92,Patio coffee table bought from consignment store. Good sturdy table but definitely could use a paint job. Don't want to part with but currently too much furniture for our space.,0
93,Selling our theater seats which are barely used because we selected another color scheme for the room.,0
94,"I love this tv, but unfortunately I don't need a tv any more just a monitor so I'm selling this baby. The tv has great color. easy to use controls, easily accessible ports, and best thing of all is super light! Also it has a 60 Hz refresh rate so you can play games at 60fps.",1
95,"This well appointed townhouse includes 2 bedrooms and 2 bath with a high lofted ceiling and open design. This rarely available unit has no upstairs or downstairs neighbor living units. 2 car direct access garage provides convenience and ease for your day to day living. The main level has an open flow design from the den to the dining room to the family room. The main level also houses one bedroom and one bath. With ultimate privacy, the second level has only the master bedroom, bathroom and laundry facility.",0
96,2540 Regent St. is a small building with 9 units. It is located just off of Telegraph Ave. between Parker St. and Dwight Way. Nearby are lots of restaurants and shops. Walking distance to U C Berkeley and Telegraph Ave. AC Transit Lines. Parking is available in a garage under the building. Coin laundry is on site. Gated Entry.,0
97,"I am in Fremont CA. Seeking to sell two white IPhone 5C both Clean serial numbers and no issues, ended service with T-Mobile. Sim usable and interchangeable.",1
98,"This Samsung Galaxy S3 is an Unlocked GSM Cellphone, so will work it work with carriers which provide GSM Sim Card. Will work Overseas as well. Phone Condition is prinstine as it has been in an Otterbox Defender case since the day I bought it from AT&T store. The otterbox case condition is not too good due to phone usage over a period of time. Also, Comes with Brand New never used Headphone and Phone wall charger. Thanks for looking",1
99,"Shame to let it go, great downhill bike. Sadly I got into a motorcycle accident last summer and can't mtb anymore. FSA chain guide and headset Raceface handlebars and stem evolve",0
100,serviced by certified apple techincan All macbooks will look and function like new Mid 2012 MacBook Pro13 inch 500gb hard drive (brand new) Microsoft office 2016,0
101,"New in box Clarity--76593 P300 Amplified Corded Photo Phone. This is fantastic for seniors. This phone has Clarity Power technology. Features a 75dB amplified ringer so you can hear when someone is calling you, even if you're in the other room. 18dB of amplification for a loud and clear sound. This phone also has 9 programmable photo memory buttons, so you don't even have to dial your frequently-called numbers. This makes calling fast and simple. The large buttons are easily visible and convenient to use. Phone is also hearing aid compatible, ideal for those with mild to moderate hearing loss. Adjustable incoming volume control - Allows you to set the receiver volume to your ideal level.",0
102,"Come see the latest in Smart HD Optics. The ATN Binox-HD binoculars are packed with so many features you will never want to use standard binoculars again. 24/7 use, Wi-Fi, E-zoom, record video, compass. Binox-HD binoculars are the worlds most advanced digital binoculars. Powered by a 1 GHz internal computer they carry a suite of sensors to enable the Senses as never before. Binox-HD - the binoculars for the 21st century. Specs: - Binoculars that record video and capture pictures - Smooth zoom from 4X-16X - Image stabilization for steady video - Features GPS geotagging",1
103,Nicely equipped car with 84K miles. It drives and handles like new. Clean title and smog check is done. This car is economical yet packs a punch and its hugs the highway. Overall it is a practical yet fun car to own. It's being offered by dealer in Hayward. This car is perfect for your daily commute or for the first time driver.,0
104,"59cm Sole Fixed gear bike ""The Whaler"" with flip flop hub (ride freewheel or fixie). It has been kept indoors and out of the weather. It is fun to ride and is in great shape.",1
105,call or text 39164 paseo padre parkway in Fremont,0
106,Rare and classic 62cm Steel Frame Colnago!! It's made and designed for the tall/ large man. Campanella components. Saddle is on my Cannondale. It was turned up about 25 miles of riding ago.,1
107,EVERYTHING IN BRAND NEWCome see this brand new place!»»»6433 Telegraph Avenue Must go!Hurry and get your application via email.,1
108,"Cell phone chargers, both Travel and Car, all are new, never used. Serious offers only and please no offers for trades, thanks.",0
109,"We have about 7 stackable chairs made by Kucsh + Co & were made in Germany. They have wood backing, purple leather seating, and chrome legging.",0
110,"Essex Property Trust EMME Apartment Homes 6350 Christie Ave, Emeryville, CA 94608 We will have a 1 bedroom 1 bath 643 sq ft apartment #130 available on June 10th! Your beautiful new kitchen will have Cesar stone countertops, dark cherry wood on the cabinets and stainless steel appliances! All of emme apartments come with a full size front load washer & dryer! Emme offers amenities such as our 24 hour gym, courtyard, clubhouse and our beautiful roof top deck, a must see with a great view of San Francisco! Living at emme makes life a bit easier with having everything you need right around the corner, from grocery stores to retail! Not to mention, transportation! Emeryville provides us a free shuttle that picks you up right in front of the community and takes you straight to bart! Schedule your appointment today!! Stop by our 2 bedroom home OPEN HOUSE this Saturday, May 20th from 10:00 AM - 12:00 PM!",1
111,"Cinnamon Apartments 23924 2nd Street,, Hayward, CA, 94541 Call Now - Need more information? Copy this link: http://trion.aptfeatures.com/vdh016",1
112,"65"" SUHD 4K KS9800 Series Curved Smart TV - 2016 Model - Top of the line- The TV with the Most Superior Level of Color, Contrast, and Brightness. Smart TV with Apps, Full Web Browser and Super Motion Rate 240. Pick up from Fremont Ca 94536",1
113,"Mileage: 35,285 only Trans: Automatic Tile: Salvage, Small accedint in the rear",1
114,"These are a set of 6 Pottery Barn dining chairs. The chairs are a espresso color. They are in real great shape, no rips on the cushions. There are some signs of wear on the backs of the chairs. The chairs will be sold as a set.",1
115,2010 Ford F150 Crewcab 4x4 automatic.,1
116,"Solid oak bookshelf Measures 28.5"" w x 13.5"" d x 48"" h. Good used condition! Shelves are adjustable to your liking.",0
117,"We have a BRAND NEW 5 bedroom apartment coming available this summer! This apartment is perfect for large groups of 10 - 15+! This apartment building provides you with an excellent location! It is only two blocks from the UC Berkeley campus and just a few blocks from the Downtown Berkeley BART station and Telegraph Avenue! This unit provides a brand new modern kitchen, abundant natural lighting for comfortable living, and is well-maintained and organized with a modern and relaxing appeal. This unit is unfurnished. The lease for this property will begin in mid-August of 2017 and continue until May 31, 2018. The lease is renewable each year. Amenities & Features include: -Cable/DSL Ready -2 blocks to campus",1
118,"Very comfy saddle and sturdy frame, perfect for rides along the bay and in the neighbourhood.",1
119,"Stored inside many years, clean as new and totally original including the original tires Pete Petersen's original city bike design. It looks new with a patina from 1991 It is the medium size 16"" frame . Bridgestone City Bike Posted here for the widest exposure but the bike is in Folsom and well worth the trip. Cash only in Folsom,",0
120,"This is an amazingly light bike. UNITED STATES POST OFFICE team sponsored,(Volkswagon/Shimano) OCLV carbon 120 /// This is not a replaca..Its an authentic team bike.. In good shape.. 56-58 CM Im 5-11 ft. its perfect Im told the bottom braket bearings are a big upgrade or better then stock White base w/ red and blue lettering Volkswagon also sponsored on lower frame near chain. Judging by the photos its the team that lance armstrong bike that they used in tour de france 2006 I think. Rims are also noted as select.",0
121,"Year Lease Cats Allowed (Extra deposit may be required), No Dogs",1
122,FOX RL 29 90mm travel 0 hours just serviced by fox stock wheel set oversized axle stout front hub..they roll true and smooth avid elixr CR brakes..new pads..rotors are clean and straight NEW fasttrack 29-2.0 tires NEW specialized brand seat post,1
123,"Ballena Village Apartment Homes in Alameda offers a tranquil retreat while still putting you just minutes from BART and the ferry, making your commute into the city a simple one! This luxury two-bedroom, one-bathroom apartment also means access to great community amenities. Your dog will love accompanying you on your morning or evening walks on our walking trails! You're sure to enjoy the views as this apartment development includes lagoons, lovely waterfalls, and artistic fountains! You'll also enjoy your kitchen that boasts European decor, a dishwasher, and a refrigerator. So if you want to live in a special apartment that comes with countless amenities, make an appointment to view your next apartment today!",1
124,"Spacious 3 Bed room, 2.5 Bath home available for Rent at Potrero Drive, Newark, CA 94560 • 3 bed room , 2.5 bath with large living room and family room (1760 Sq. ft) • Granite counter tops in kitchen • Pergo flooring in Living room and family room • Recessed lights in living room and family room • Walk in closet in master bed room",1
125,"Excellent Condition, Like New!",0
126,"new (less than 5 miles) fully assembled ""liberty Trike"" in red cant use due to disability and my balance problems. see spec and faq on website below(where i purchased it) folds for transport",0
127,This is a large open space with skylights and outside deck. It has been used as an artist studio. It also would make wonderful offices. Two of rooms have been used as bedrooms. There is a kitchen and one bathroom. The space is on the second floor and backs up to the Lucky Shopping Center parking lot. Close to BART and a block from City Hall. Please call Howard at,1
128,"Up for sale is a 2013 c250 with only 45k. Interior is loaded with technology and in new condition, the paint is immaculate on the exterior. The tires are new. Additional options include: Navigation Attention Assist (warns you if your drowsy) Automatic Windsheild Wipers Bluetooth Audio Connectivity (for audio) Bluetooth Phone Connectivity (for phone calls) USB Connectivity",0
129,"We need to sell off some of our office furniture as we need to make some extra room. This is a very new piece fully assembled. We bought it from Coscto Furniture, 3 months back. Here's the link to the actual furniture. https://www.costco.com/Logan-U-shape-Workstation-with-Adjustable-Bridge.product.100245742.html",0
130,RARE DAVINCI PURSUIT BIKE. ALL CAMPY PARTS. ORIGINAL PAINT HAS SOME CHIPS AND I WAS GOING TO RE-PAINT BUT NEVER DID IT. 55-56CM. CALL WITH QUESTIONS,1
131,- all important maintenance is performed - interior and exterior good shape,1
132,"Selling an excellent condition Polk Audio 5.1 home theater system in Cherry wood finish. Not a scratch on the speakers, it still looks brand new and comes with all original boxes. This is not your typical home theater in a box (HTIB) but a real 5.1 surround sound system. Sound is amazing for an entry level home theater system and will blow away any home theater in a box setups. -2x Polk Audio Monitor 60 Floorstanding Front Speakers -2x Polk Audio Monitor 30 Bookshelf Surround Speakers -1x Polk Audio CS2 Center Channel -Onkyo TX-SR503 5.1 Channel AV Receiver",1
133,Available Now! Year Lease,1
134,2014 Hampton Bay Pembrey Patio Chairs Rocker 150 ea. or 2 for 250 Chile Pepper Cushions,1
135,"Regency Square Apartments is located at 4917 Central Avenue, Fremont, CA 94536. Office hours are Monday-Saturday from 8:30-5:00. At Regency Square Apartments, you'll enjoy living in a smoke-free community with your own washer and dryer, large extra storage on balcony and nice open floor plan. Best of all, Regency Square Apartments will pay your water and garbage bill.",1
136,"AT&T phone unlocked. Iphone 4 in very good condition. White , 8GB.",0
137,"Excellent condition RCA 42""HD plasma TV for your repairs or parts out, good screen and no cracked, can't power on, and this model made by Samsung, give me your offers! You can sell parts on eBay or fix it, again panel not cracked",0
138,"Please email, call, text at",1
139,"On sale is my 1 year old iphone 6s plus , unlocked can be used on any network, great pics,16gb memory,upgraded to latest OS,big screen",0
140,RARE 1989 ROSSIN ROAD BIKE. BUILT IN 1989 AND STORED FOR 27 YEARS! NEVER BEEN ON THE STREET! ALL CAMPY RECORD PARTS. TRULY A COLLECTOR/MUSEUM PIECE. 58-60CM. CALL WITH QUESTIONS. 2000.00 OBO.,1
141,Slide out tray for media storage Condition: Structurally sound Good condition,0
142,Selling my GMC Serria 4.8 Extended Cab 4 door Runs and drives great not one mechanical issue clean inside and out 185000 miles registered till aug 2017 new battery and plugs wires kept all original stock radio system no modifications don't to it,1
